image,alpha,label,pred,correct,path_length,distractor_ratio,decoy_arrow_count,start_end_manhattan,num_turns,path_bbox_area,path_coverage,long_dependency_score
test/000000.png,0.4601995646953583,5,6,0,24,0.25,21,10,11,60,0.12755102040816327,0.2381475667189953
test/000001.png,0.4724692404270172,2,2,1,40,0.4,20,18,26,99,0.20918367346938777,0.41127681841967556
test/000002.png,0.5163533091545105,1,1,1,40,0.25,19,12,28,112,0.20918367346938777,0.3553113553113553
test/000003.png,0.45680251717567444,3,3,1,24,0.25,20,8,17,49,0.12755102040816327,0.20384615384615384
test/000004.png,0.47251442074775696,0,0,1,32,0.4,26,8,24,81,0.1683673469387755,0.25701203558346414
test/000005.png,0.446059912443161,7,7,1,48,0.25,19,6,28,108,0.25,0.30251177394034534
test/000006.png,0.48595669865608215,6,6,1,48,0.4,23,10,32,98,0.25,0.3384615384615385
test/000007.png,0.45081618428230286,5,5,1,24,0.25,24,10,16,40,0.12755102040816327,0.2177394034536892
test/000008.png,0.485175222158432,2,2,1,32,0.25,21,2,20,48,0.1683673469387755,0.1541077969649398
test/000009.png,0.4995977580547333,6,6,1,32,0.4,24,12,19,98,0.1683673469387755,0.3205128205128205
test/000010.png,0.46093127131462097,3,3,1,24,0.25,25,8,15,60,0.12755102040816327,0.21507064364207223
test/000011.png,0.47913262248039246,0,6,0,24,0.25,25,14,14,99,0.12755102040816327,0.32409733124018836
test/000012.png,0.46647635102272034,5,5,1,40,0.4,22,12,31,72,0.20918367346938777,0.3144950287807431
test/000013.png,0.5227575302124023,1,1,1,24,0.25,19,6,11,63,0.12755102040816327,0.19505494505494508
test/000014.png,0.4531604051589966,3,3,1,48,0.25,24,6,25,126,0.25,0.3208791208791209
test/000015.png,0.4377134144306183,3,3,1,32,0.25,26,12,25,84,0.1683673469387755,0.30622710622710625
test/000016.png,0.5185695886611938,1,1,1,40,0.25,25,8,28,60,0.20918367346938777,0.2560962846677132
test/000017.png,0.4672592282295227,2,2,1,32,0.25,18,4,23,63,0.1683673469387755,0.19249084249084247
test/000018.png,0.466369092464447,0,0,1,48,0.4,24,14,31,112,0.25,0.39890109890109887
test/000019.png,0.5294269919395447,4,4,1,32,0.25,16,12,19,120,0.1683673469387755,0.34296180010465727
test/000020.png,0.4959253966808319,1,1,1,48,0.4,24,10,28,154,0.25,0.39560439560439564
test/000021.png,0.4633432924747467,7,7,1,24,0.25,25,12,14,48,0.12755102040816327,0.2489795918367347
test/000022.png,0.4757101535797119,4,5,0,32,0.4,24,8,20,72,0.1683673469387755,0.24782836211407638
test/000023.png,0.4679076373577118,0,0,1,32,0.4,28,16,20,100,0.1683673469387755,0.3687074829931973
test/000024.png,0.5405632853507996,1,1,1,40,0.4,20,4,23,81,0.20918367346938777,0.23137100994243853
test/000025.png,0.44950157403945923,2,2,1,40,0.25,25,6,29,70,0.20918367346938777,0.24322344322344325
test/000026.png,0.48005005717277527,0,0,1,32,0.25,20,10,20,81,0.1683673469387755,0.28008895866038724
test/000027.png,0.45621106028556824,7,3,0,40,0.4,23,14,26,156,0.20918367346938777,0.42328623757195183
test/000028.png,0.4837225377559662,6,6,1,40,0.25,26,10,25,98,0.20918367346938777,0.31794871794871793
test/000029.png,0.4677020311355591,0,0,1,32,0.25,20,4,17,60,0.1683673469387755,0.18942961800104657
test/000030.png,0.5111548900604248,4,4,1,48,0.4,19,10,29,88,0.25,0.3282574568288854
test/000031.png,0.473278671503067,2,2,1,24,0.25,25,10,16,54,0.12755102040816327,0.23202511773940346
test/000032.png,0.46236270666122437,7,3,0,24,0.4,24,10,16,77,0.12755102040816327,0.2554945054945055
test/000033.png,0.547717273235321,4,4,1,40,0.25,23,4,28,63,0.20918367346938777,0.21300366300366302
test/000034.png,0.5141890645027161,2,2,1,40,0.4,24,14,24,126,0.20918367346938777,0.3926739926739926
test/000035.png,0.4686698913574219,5,5,1,24,0.25,26,12,12,63,0.12755102040816327,0.2642857142857143
test/000036.png,0.45167994499206543,5,5,1,48,0.25,18,14,24,168,0.25,0.45604395604395603
test/000037.png,0.44915857911109924,5,0,0,48,0.25,22,12,31,143,0.25,0.40745682888540036
test/000038.png,0.5298228859901428,1,1,1,32,0.25,21,8,21,54,0.1683673469387755,0.22946101517530088
test/000039.png,0.43203529715538025,3,0,0,48,0.25,22,6,24,120,0.25,0.31475667189952905
test/000040.png,0.5202798247337341,1,1,1,32,0.25,23,12,19,100,0.1683673469387755,0.3225536368393511
test/000041.png,0.455843061208725,3,3,1,48,0.4,26,12,29,182,0.25,0.4472527472527473
test/000042.png,0.44950565695762634,5,5,1,24,0.25,23,16,18,70,0.12755102040816327,0.3175824175824176
test/000043.png,0.4814383089542389,6,6,1,48,0.25,25,6,29,88,0.25,0.28210361067503925
test/000044.png,0.449532687664032,3,3,1,24,0.4,27,4,14,42,0.12755102040816327,0.15054945054945057
test/000045.png,0.5023618936538696,1,1,1,24,0.25,22,10,15,56,0.12755102040816327,0.23406593406593407
test/000046.png,0.45489737391471863,0,0,1,24,0.4,25,4,12,45,0.12755102040816327,0.15361067503924647
test/000047.png,0.44153672456741333,5,5,1,48,0.25,20,14,29,112,0.25,0.39890109890109887
test/000048.png,0.5236876606941223,4,4,1,40,0.25,21,4,28,108,0.20918367346938777,0.2589220303506018
test/000049.png,0.4567713737487793,5,5,1,32,0.25,24,6,20,56,0.1683673469387755,0.20842490842490843
test/000050.png,0.47538360953330994,3,3,1,48,0.4,21,8,30,126,0.25,0.34395604395604396
test/000051.png,0.45360398292541504,3,0,0,48,0.4,18,6,28,88,0.25,0.28210361067503925
test/000052.png,0.45232120156288147,3,3,1,24,0.4,26,4,15,42,0.12755102040816327,0.15054945054945057
test/000053.png,0.531879186630249,4,4,1,48,0.25,19,8,29,84,0.25,0.30109890109890114
test/000054.png,0.5362871289253235,1,1,1,24,0.25,16,6,10,56,0.12755102040816327,0.1879120879120879
test/000055.png,0.4893118739128113,0,0,1,32,0.25,26,10,21,66,0.1683673469387755,0.26478283621140764
test/000056.png,0.49650049209594727,2,2,1,32,0.4,19,14,19,120,0.1683673469387755,0.3660387231815803
test/000057.png,0.5382029414176941,1,1,1,32,0.4,19,8,20,56,0.1683673469387755,0.23150183150183148
test/000058.png,0.4886692762374878,1,3,0,40,0.4,28,6,25,64,0.20918367346938777,0.2371009942438514
test/000059.png,0.49325132369995117,6,6,1,48,0.25,26,12,32,88,0.25,0.3513343799058085
test/000060.png,0.45896458625793457,5,5,1,24,0.25,19,6,13,60,0.12755102040816327,0.19199372056514916
test/000061.png,0.4641364812850952,2,2,1,40,0.25,23,4,24,77,0.20918367346938777,0.2272893772893773
test/000062.png,0.48919886350631714,6,6,1,48,0.4,26,14,20,112,0.25,0.39890109890109887
test/000063.png,0.5009392499923706,4,4,1,24,0.25,25,8,13,63,0.12755102040816327,0.21813186813186813
test/000064.png,0.46357646584510803,3,3,1,40,0.25,22,6,22,63,0.20918367346938777,0.23608058608058607
test/000065.png,0.45119911432266235,5,5,1,24,0.25,23,4,14,35,0.12755102040816327,0.14340659340659342
