image,alpha,label,pred,correct,path_length,distractor_ratio,decoy_arrow_count,start_end_manhattan,num_turns,path_bbox_area,path_coverage,long_dependency_score
test/000000.png,0.4511549770832062,5,6,0,24,0.25,21,10,11,60,0.12755102040816327,0.2381475667189953
test/000001.png,0.44971713423728943,2,2,1,40,0.4,20,18,26,99,0.20918367346938777,0.41127681841967556
test/000002.png,0.4983777105808258,1,2,0,40,0.25,19,12,28,112,0.20918367346938777,0.3553113553113553
test/000003.png,0.42765340209007263,3,3,1,24,0.25,20,8,17,49,0.12755102040816327,0.20384615384615384
test/000004.png,0.4331601560115814,0,0,1,32,0.4,26,8,24,81,0.1683673469387755,0.25701203558346414
test/000005.png,0.4227485954761505,7,7,1,48,0.25,19,6,28,108,0.25,0.30251177394034534
test/000006.png,0.5101972222328186,6,6,1,48,0.4,23,10,32,98,0.25,0.3384615384615385
test/000007.png,0.39124977588653564,5,5,1,24,0.25,24,10,16,40,0.12755102040816327,0.2177394034536892
test/000008.png,0.46994298696517944,2,2,1,32,0.25,21,2,20,48,0.1683673469387755,0.1541077969649398
test/000009.png,0.48356136679649353,6,4,0,32,0.4,24,12,19,98,0.1683673469387755,0.3205128205128205
test/000010.png,0.4125160276889801,3,3,1,24,0.25,25,8,15,60,0.12755102040816327,0.21507064364207223
test/000011.png,0.4438540041446686,0,0,1,24,0.25,25,14,14,99,0.12755102040816327,0.32409733124018836
test/000012.png,0.3916639983654022,5,5,1,40,0.4,22,12,31,72,0.20918367346938777,0.3144950287807431
test/000013.png,0.4422623813152313,1,1,1,24,0.25,19,6,11,63,0.12755102040816327,0.19505494505494508
test/000014.png,0.4005656838417053,3,3,1,48,0.25,24,6,25,126,0.25,0.3208791208791209
test/000015.png,0.4075975716114044,3,3,1,32,0.25,26,12,25,84,0.1683673469387755,0.30622710622710625
test/000016.png,0.44181913137435913,1,1,1,40,0.25,25,8,28,60,0.20918367346938777,0.2560962846677132
test/000017.png,0.4524083435535431,2,2,1,32,0.25,18,4,23,63,0.1683673469387755,0.19249084249084247
test/000018.png,0.4277915954589844,0,0,1,48,0.4,24,14,31,112,0.25,0.39890109890109887
test/000019.png,0.4705011248588562,4,4,1,32,0.25,16,12,19,120,0.1683673469387755,0.34296180010465727
test/000020.png,0.4379994869232178,1,1,1,48,0.4,24,10,28,154,0.25,0.39560439560439564
test/000021.png,0.418776273727417,7,7,1,24,0.25,25,12,14,48,0.12755102040816327,0.2489795918367347
test/000022.png,0.4510447680950165,4,4,1,32,0.4,24,8,20,72,0.1683673469387755,0.24782836211407638
test/000023.png,0.4044065773487091,0,0,1,32,0.4,28,16,20,100,0.1683673469387755,0.3687074829931973
test/000024.png,0.4680114984512329,1,1,1,40,0.4,20,4,23,81,0.20918367346938777,0.23137100994243853
test/000025.png,0.4608038663864136,2,2,1,40,0.25,25,6,29,70,0.20918367346938777,0.24322344322344325
test/000026.png,0.4257887899875641,0,0,1,32,0.25,20,10,20,81,0.1683673469387755,0.28008895866038724
test/000027.png,0.43781018257141113,7,7,1,40,0.4,23,14,26,156,0.20918367346938777,0.42328623757195183
test/000028.png,0.49687692523002625,6,6,1,40,0.25,26,10,25,98,0.20918367346938777,0.31794871794871793
test/000029.png,0.4057634472846985,0,0,1,32,0.25,20,4,17,60,0.1683673469387755,0.18942961800104657
test/000030.png,0.4477703273296356,4,4,1,48,0.4,19,10,29,88,0.25,0.3282574568288854
test/000031.png,0.47302183508872986,2,2,1,24,0.25,25,10,16,54,0.12755102040816327,0.23202511773940346
